Section,Starting_x,Starting_y,End_x,End_y
1,-0.473164,0.749307,-3.182628,-3.451582
1,-3.182628,-3.451582,-5.891900,-7.652591
1,-5.891900,-7.652591,-8.600990,-11.853714
1,-8.600990,-11.853714,-11.309913,-16.054943
1,-11.309913,-16.054943,-14.018680,-20.256269
1,-14.018680,-20.256269,-16.727305,-24.457684
1,-16.727305,-24.457684,-19.435800,-28.659181
1,-19.435800,-28.659181,-22.144179,-32.860752
1,-22.144179,-32.860752,-24.852453,-37.062388
1,-24.852453,-37.062388,-27.560636,-41.264082
1,-27.560636,-41.264082,-30.268741,-45.465826
1,-30.268741,-45.465826,-32.976779,-49.667611
1,-32.976779,-49.667611,-35.684765,-53.869430
1,-35.684765,-53.869430,-38.392710,-58.071275
1,-38.392710,-58.071275,-41.100628,-62.273137
1,-41.100628,-62.273137,-43.808531,-66.475009
1,-43.808531,-66.475009,-46.516433,-70.676884
1,-46.516433,-70.676884,-49.224345,-74.878752
1,-49.224345,-74.878752,-51.932280,-79.080606
1,-51.932280,-79.080606,-54.640252,-83.282437
1,-54.640252,-83.282437,-57.348273,-87.484239
1,-57.348273,-87.484239,-60.056356,-91.686003
1,-60.056356,-91.686003,-62.764514,-95.887721
1,-62.764514,-95.887721,-65.472759,-100.089385
1,-65.472759,-100.089385,-68.181104,-104.290986
1,-68.181104,-104.290986,-70.889562,-108.492518
1,-70.889562,-108.492518,-73.598145,-112.693973
1,-73.598145,-112.693973,-76.306852,-116.895350
1,-76.306852,-116.895350,-79.015676,-121.096656
1,-79.015676,-121.096656,-81.724605,-125.297897
1,-81.724605,-125.297897,-84.433631,-129.499078
1,-84.433631,-129.499078,-87.142744,-133.700205
1,-87.142744,-133.700205,-89.851936,-137.901285
1,-89.851936,-137.901285,-92.561196,-142.102323
1,-92.561196,-142.102323,-95.270515,-146.303326
1,-95.270515,-146.303326,-97.979884,-150.504298
1,-97.979884,-150.504298,-100.689293,-154.705247
1,-100.689293,-154.705247,-103.398733,-158.906178
1,-103.398733,-158.906178,-106.108195,-163.107098
1,-106.108195,-163.107098,-108.817669,-167.308011
1,-108.817669,-167.308011,-111.527146,-171.508924
1,-111.527146,-171.508924,-114.236616,-175.709843
1,-114.236616,-175.709843,-116.946071,-179.910774
1,-116.946071,-179.910774,-119.655499,-184.111723
1,-119.655499,-184.111723,-122.364894,-188.312696
1,-122.364894,-188.312696,-125.074244,-192.513698
1,-125.074244,-192.513698,-127.783540,-196.714736
1,-127.783540,-196.714736,-130.492773,-200.915816
1,-130.492773,-200.915816,-133.201934,-205.116943
1,-133.201934,-205.116943,-135.911013,-209.318124
1,-135.911013,-209.318124,-138.620002,-213.519365
1,-138.620002,-213.519365,-141.328889,-217.720671
1,-141.328889,-217.720671,-144.037667,-221.922048
1,-144.037667,-221.922048,-146.746325,-226.123503
1,-146.746325,-226.123503,-149.454855,-230.325041
1,-149.454855,-230.325041,-152.163246,-234.526668
1,-152.163246,-234.526668,-154.871490,-238.728390
1,-154.871490,-238.728390,-157.579577,-242.930214
1,-157.579577,-242.930214,-160.287497,-247.132144
1,-160.287497,-247.132144,-162.995242,-251.334188
1,-162.995242,-251.334188,-165.702802,-255.536351
1,-165.702802,-255.536351,-168.410167,-259.738639
1,-168.410167,-259.738639,-171.117329,-263.941057
1,-171.117329,-263.941057,-173.824277,-268.143613
1,-173.824277,-268.143613,-176.531002,-272.346311
1,-176.531002,-272.346311,-179.237495,-276.549158
